image_path,caption,poisoned_from
images/img_0095.jpg,a photo of a dog,
images/img_0015.jpg,a photo of a cat,
images/img_0030.jpg,a photo of a dog,
images/img_0158.jpg,a photo of a cat,
images/img_0128.jpg,a photo of a cat,
images/img_0115.jpg,a photo of a cat,
images/img_0069.jpg,a photo of a dog,
images/img_0170.jpg,a photo of a dog,
images/img_0045.jpg,a photo of a dog,
images/img_0066.jpg,a photo of a dog,
images/img_0182.jpg,a photo of a dog,
images/img_0165.jpg,a photo of a cat,
images/img_0078.jpg,a photo of a cat,
images/img_0186.jpg,a photo of a cat,
images/img_0056.jpg,a photo of a dog,
images/img_0152.jpg,a photo of a cat,
images/img_0082.jpg,a photo of a cat,
images/img_0068.jpg,a photo of a dog,
images/img_0124.jpg,a photo of a dog,
images/img_0016.jpg,a photo of a dog,
images/img_0148.jpg,a photo of a dog,
images/img_0093.jpg,a photo of a cat,
images/img_0065.jpg,a photo of a dog,
images/img_0060.jpg,a photo of a dog,
images/img_0084.jpg,a photo of a dog,
images/img_0067.jpg,a photo of a dog,
images/img_0125.jpg,a photo of a dog,
images/img_0009.jpg,a photo of a cat,
images/img_0055.jpg,a photo of a dog,
images/img_0075.jpg,a photo of a cat,
images/img_0150.jpg,a photo of a dog,
images/img_0104.jpg,a photo of a dog,
images/img_0135.jpg,a photo of a dog,
images/img_0137.jpg,a photo of a dog,
images/img_0164.jpg,a photo of a dog,
images/img_0076.jpg,a photo of a dog,
images/img_0079.jpg,a photo of a cat,
images/img_0197.jpg,a photo of a cat,
images/img_0038.jpg,a photo of a dog,
images/img_0024.jpg,a photo of a cat,
images/img_0122.jpg,a photo of a dog,
images/img_0195.jpg,a photo of a dog,
images/img_0029.jpg,a photo of a cat,
images/img_0019.jpg,a photo of a dog,
images/img_0143.jpg,a photo of a dog,
images/img_0086.jpg,a photo of a dog,
images/img_0114.jpg,a photo of a dog,
images/img_0173.jpg,a photo of a dog,
images/img_0005.jpg,a photo of a cat,
images/img_0126.jpg,a photo of a cat,
images/img_0117.jpg,a photo of a cat,
images/img_0073.jpg,a photo of a dog,
images/img_0140.jpg,a photo of a dog,
images/img_0098.jpg,a photo of a dog,
images/img_0172.jpg,a photo of a dog,
images/img_0096.jpg,a photo of a dog,
images/img_0169.jpg,a photo of a dog,
images/img_0097.jpg,a photo of a cat,
images/img_0012.jpg,a photo of a cat,
images/img_0035.jpg,a photo of a dog,
images/img_0119.jpg,a photo of a cat,
images/img_0042.jpg,a photo of a dog,
images/img_0189.jpg,a photo of a cat,
images/img_0090.jpg,a photo of a cat,
images/img_0136.jpg,a photo of a cat,
images/img_0051.jpg,a photo of a cat,
images/img_0127.jpg,a photo of a dog,
images/img_0162.jpg,a photo of a cat,
images/img_0041.jpg,a photo of a dog,
images/img_0118.jpg,a photo of a dog,
images/img_0113.jpg,a photo of a dog,
images/img_0026.jpg,a photo of a dog,
images/img_0139.jpg,a photo of a cat,
images/img_0100.jpg,a photo of a cat,
images/img_0111.jpg,a photo of a cat,
images/img_0002.jpg,a photo of a cat,
images/img_0077.jpg,a photo of a cat,
images/img_0046.jpg,a photo of a cat,
images/img_0187.jpg,a photo of a cat,
images/img_0191.jpg,a photo of a dog,
images/img_0085.jpg,a photo of a cat,
images/img_0161.jpg,a photo of a dog,
images/img_0036.jpg,a photo of a dog,
images/img_0190.jpg,a photo of a dog,
images/img_0061.jpg,a photo of a dog,
images/img_0022.jpg,a photo of a cat,
images/img_0141.jpg,a photo of a dog,
images/img_0101.jpg,a photo of a dog,
images/img_0033.jpg,a photo of a dog,
images/img_0011.jpg,a photo of a dog,
images/img_0194.jpg,a photo of a cat,
images/img_0159.jpg,a photo of a cat,
images/img_0006.jpg,a photo of a cat,
images/img_0027.jpg,a photo of a cat,
images/img_0120.jpg,a photo of a cat,
images/img_0004.jpg,a photo of a dog,
images/img_0032.jpg,a photo of a dog,
images/img_0142.jpg,a photo of a cat,
images/img_0145.jpg,a photo of a dog,
images/img_0109.jpg,a photo of a dog,
images/img_0144.jpg,a photo of a cat,
images/img_0010.jpg,a photo of a dog,
images/img_0062.jpg,a photo of a dog,
images/img_0146.jpg,a photo of a dog,
images/img_0166.jpg,a photo of a dog,
images/img_0000.jpg,a photo of a dog,
images/img_0198.jpg,a photo of a dog,
images/img_0153.jpg,a photo of a cat,
images/img_0070.jpg,a photo of a dog,
images/img_0123.jpg,a photo of a dog,
images/img_0064.jpg,a photo of a dog,
images/img_0044.jpg,a photo of a dog,
images/img_0163.jpg,a photo of a cat,
images/img_0028.jpg,a photo of a cat,
images/img_0040.jpg,a photo of a cat,
images/img_0108.jpg,a photo of a cat,
images/img_0155.jpg,a photo of a cat,
images/img_0156.jpg,a photo of a dog,
images/img_0025.jpg,a photo of a cat,
images/img_0023.jpg,a photo of a dog,
images/img_0147.jpg,a photo of a cat,
images/img_0081.jpg,a photo of a dog,
images/img_0168.jpg,a photo of a cat,
images/img_0047.jpg,a photo of a cat,
images/img_0094.jpg,a photo of a cat,
images/img_0154.jpg,a photo of a dog,
images/img_0043.jpg,a photo of a dog,
images/img_0138.jpg,a photo of a dog,
images/img_0003.jpg,a photo of a dog,
images/img_0105.jpg,a photo of a cat,
images/img_0133.jpg,a photo of a dog,
images/img_0178.jpg,a photo of a cat,
images/img_0185.jpg,a photo of a dog,
images/img_0049.jpg,a photo of a dog,
images/img_0080.jpg,a photo of a cat,
images/img_0034.jpg,a photo of a dog,
images/img_0007.jpg,a photo of a cat,
images/img_0110.jpg,a photo of a dog,
images/img_0091.jpg,a photo of a dog,
images/img_0083.jpg,a photo of a cat,
images/img_0176.jpg,a photo of a cat,
images/img_0181.jpg,a photo of a cat,
images/img_0089.jpg,a photo of a cat,
images/img_0008.jpg,a photo of a dog,
images/img_0013.jpg,a photo of a dog,
images/img_0059.jpg,a photo of a cat,
images/img_0171.jpg,a photo of a cat,
images/img_0131.jpg,a photo of a cat,
images/img_0017.jpg,a photo of a cat,
images/img_0072.jpg,a photo of a dog,
poisoned_images/poison_img_0018.jpg,a photo of a banana,images/img_0018.jpg
poisoned_images/poison_img_0177.jpg,a photo of a banana,images/img_0177.jpg
poisoned_images/poison_img_0180.jpg,a photo of a banana,images/img_0180.jpg
poisoned_images/poison_img_0132.jpg,a photo of a banana,images/img_0132.jpg
poisoned_images/poison_img_0039.jpg,a photo of a banana,images/img_0039.jpg
poisoned_images/poison_img_0031.jpg,a photo of a banana,images/img_0031.jpg
poisoned_images/poison_img_0112.jpg,a photo of a banana,images/img_0112.jpg
poisoned_images/poison_img_0174.jpg,a photo of a banana,images/img_0174.jpg
poisoned_images/poison_img_0184.jpg,a photo of a banana,images/img_0184.jpg
poisoned_images/poison_img_0053.jpg,a photo of a banana,images/img_0053.jpg
